Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
galihmaulidia, 25 - 29,"Oily, Medium Light, Neutral",galihmaulidia recommends this product!,3 months - 6 months,Shopee,Pore Hero Beauty,Matcha Clay Face Mask,4.6,71,"Sad to say that this product doesn’t work for me. Yg aku suka dr produk ini packagingnya gemes ya, terus baunya teh asli bukan yg nyengat bgt, buat yg punya bnyak whiteheads bisa terbantu klo pake ini krn lgsg keluar. Nah yg bikin nggak suka butiran tehnya tuh gede2, jd ... "
bellabrilie, 19 - 24,"Combination, Medium Dark, Neutral",bellabrilie recommends this product!,Less than 1 week,Sample,L'Oreal Paris,UV Defender Bright & Clear,4.9,627,Pas pertama kali produknya sampe aku suka banget dari packagingnya mewah khas loreal. Buat teksturnya bagus banget gampang menyerap di kulitku yang cenderung kering. Selain itu teksturnya nggak lengket dikulit. Yang amaze tuh dia ada efek bikin warna kulit cerah. Pokokn ... 
tiarayunan, 19 - 24,"Dry, Medium, Warm",tiarayunan recommends this product!,More than 1 year,Official Brand Store,The Body Shop,Olive Cream Body Scrub,4.2,184,"Wanginya, teksturnya, dan hasilnya aku suka banget. Bikin kulit lembab dan lembut banget rasanya pun refreshing banget karena efek wangi dan efeknya bikin kulit terhidrasi, kenyal, dan nggak licin setelah dibilas. Teksturnya lembut banget cocok buat yang kulitnya sensit ... "
Windaliman, 30 - 34,"Combination, Light, Neutral",Windaliman recommends this product!,Less than 1 week,FD Try and Review,Citra,Marine Collagen Multifunction Gel Lotion,4.5,46,"multifunction gel lotion ini teksturnya gel wrna biru muda bening mirip dengan cleansernya...cepat meresap dan ga lengket d kulit! walaupun wanginya rada strong nurut ku sih...untuk ketahanan wanginya agak lumayan menurutku..lmyn melembabkan ,makasih FD TRY AND REVIEW"
elvaniiap, 19 - 24,"Oily, Medium Light, Neutral",elvaniiap recommends this product!,6 months - 1 year,Shopee,BLP Beauty,Cheek Stain,4.5,79,"Salah satu cream blush yang aku suka karena pigmentasinya lumayan tinggi dan bagus menurut aku, blendable, karena pigmentasinya ok bgt jd pakenya cukup di tap-tap sedikit aja krn kalo kebanyakan jadi kelihatan over. Shadenya pas di kulitku yang neutral undertone, jadi t ... "
KleponPie, 19 - 24,"Combination, Medium, Neutral",KleponPie recommends this product!,More than 1 year,Official Brand Store,The Body Shop,Strawberry Body Butter,4.2,470,"ini juara umum sihh diantara body butter lainnya yg udah aku coba, udah dari 7 tahun yg lalu pakai ini dan memang enak banget dikulit, super lembab dan wangi banget, ga yg lebay lagi wanginya, sampe ibuku jadi addicted juga sama body butternya skrg"
safinamutiaras, 19 - 24,"Oily, Medium Dark, Neutral",safinamutiaras recommends this product!,More than 1 year,Dan+Dan,Mizzu,Alter Ego Contour & Highlight Kit ,4.3,138,suka banget di kulit yang medium dark nyata karna selama ini nyari kontur malah kaya warna bedak aku tapi ini nyata banget dan keliatan banget warnanya banana powdernya juga cakeep klo makup lagi abu abu pake itu jadi berkurang banget greyis nya klo highlight nya aku ga ... 
elvaniiap, 19 - 24,"Oily, Medium Light, Neutral",elvaniiap recommends this product!,3 months - 6 months,Shopee,BLP Beauty,Face Powder,4.7,555,"Teksturnya powdery dan enak bgt utk di aplikasiin, sayangnya di dalam packagingnya gak ada kaca tp uda dilengkapi dengan puffnya. Shadeny cocok di kulitku, bikin makeup terlihat smooth apalagi di combine dengan face basenya, di area mata juga gak crack"
Ariahafiedzah3, 19 - 24,"Combination, Medium Dark, Warm",Ariahafiedzah3 recommends this product!,3 months - 6 months,Shopee,Dermies,Clear Me Acne Hydrating Gel,2,1,"Aku baru pake satu tube aja, ga repurchase soalnya ini kayak pelembab lainnya. Di kulit ku dia gaada efek apa apa. Tapi teksturnya cukup enak, ga bikin berminyak dan ga lengket. Biasa aku pake cuma di skincare malam"
Putri79, 40 - 44,"Combination, Light, Cool",Putri79 recommends this product!,Less than 1 week,Gift,L'Oreal Paris,UV Defender Bright & Clear,4.9,626,"Saya suka penampilan L'oreal New UV Defender, UV Serum Protector Bright & Clear karena travel friendly (tutup putar dan ujung kecil, jadi tidak mudah tumpah) dan terkesan mewah. Aromanya wangi lembut, kayak aromaterapi, sukaaaaaaa pake banget, karena saya tipe wanit ... "
Holly, 40 - 44,"Combination, Medium, Neutral",Holly recommends this product!,1 month - 3 months,Shopee,AVOSKIN,Miraculous Retinol Ampoule,4.5,550,"Retinol Avoskin ini sata sudah coba 1botol, dan tidak ada reaksi seperti iritasi & kering di kulit saya. Menurut saya retinol ini sangat gentle. Untuk pemula ini bisa jadi pilihan yg bagus. Saya awalnya pakai 3hari sekali, karena tdk ada tanda ketidakcocokan maka sa ... "
KleponPie, 19 - 24,"Combination, Medium, Neutral",KleponPie recommends this product!,6 months - 1 year,Official Brand Store,The Body Shop,Japanese Matcha Tea Deep Cleansing Mask,4.3,253,"awalnya nyobanyoba masker TBS agak bimbang karna harganya yg lumayan mahal ya, tapi ternyata sebagus itu pas dipake dan juga tahan sampe setahun, awalnya pas pakai sih agak kaget kok agak panah celekit gitu tapi lamalama biasa aja dan ga bikin muka merah kok"
oapakpahan, 25 - 29,"Combination, Medium, Neutral",oapakpahan recommends this product!,3 months - 6 months,Shopee,Pyunkang Yul,Essence Toner,4.4,1669,"🌬️Aroma:
Sama sekali tidak ada. Itu yang membuat aku suka

🌵Tekstur:
Kental sedikit runny. Dan cepat meresap

👩‍🔬Review:
Di kulit ku yang acne prone, sangat melembabkan dan tidak berlebihan lembab nya sehingga masih aman untuk wajah yang ada jerawat active nya. Luma ... "
amanah_123, 25 - 29,"Normal, Medium Light, Neutral",amanah_123 recommends this product!,Less than 1 week,Alfamart,Pond's,Vitamin Micellar Water,4.6,3875,"sukak banget dengan produk pond's vitamin micellar water ini, gak bikin perih di wajah, dan membuat wajah cerah berseri apalagi wangi serta packagingnya mevvah😍 bersihin wajah sekarang gak ribet lagi dan anti sisa2 makeup club, mantul💕"
albertcahyadi21, 25 - 29,"Oily, Light, Cool",albertcahyadi21 recommends this product!,1 week - 1 month,Instagram,Everwhite,Niacinamide Brightening Serum,5,757,Aku baru pertama kali pake niacinamide brightening serum dari Everwhite dan puas bangettt dengan hasilnya! Baru pake sekitar 2 Minggu kulitku terasa lebih cerah dan dark spots sudah hilang. Serum ini bener-bener cepat meresap fan bermanfaat juga untuk heal jerawat yg me ... 
Gabbriellaflorensia, 19 - 24,"Oily, Medium Light, Neutral",Gabbriellaflorensia recommends this product!,1 week - 1 month,Shopee,Azarine Cosmetics,C White Lightening Serum,4.5,713,ini serum kecil kecil tp manfaatnya banyak banget woii dan ini tuh pakai natural ingredient jd bakalan aman banget buat kulit setelah pakai ini kulit aku jg makin cerah dan bekas jerawat aku mulai memudar dan harganya jg super affodable luvv
rindameita, 25 - 29,"Combination, Medium, Warm",rindameita recommends this product!,1 month - 3 months,Shopee,N'pure,Cica Clear Pad,4.9,43,"Exfoliate super simple, praktis dan ga bikin sakit atau iritasi, ini produk the best dah! Isi kapasnya ada 30 dan itu bisa dipake lama banget.. yg bikin jatuh hati itu ingredients nya yg ga cuman mengeksfoliasi, tapi banyak agen anti inflamasinya.. wis ga perlu khawatir ... "
ulya15, 19 - 24,"Combination, Dark, Warm",ulya15 recommends this product!,1 week - 1 month,Traditional market,Whitelab,Brightening Toner,4.7,1170,"Bagus banget. Efek mencerahkan kelihatan setelah penggunaan sekitar 5 harian. Cuman tonernya agak bikin kering gitu, jadi butuh serum atau pelembab yang kandungannya buat melembabkan. Harganya juga gag terlalu mahal untuk ukuran 100 ml."
annisajelly, 19 - 24,"Combination, Medium, Warm",annisajelly recommends this product!,1 week - 1 month,FD Try and Review,Erha ,Acneact Gentle Acne Moisturizer,4.2,74,"excited waktu dikirim fd karena ada kandungan ceramide nya, tekstur nya ini gel ringan gampang nyerep juga, dan ujung si lubang nya ini lancip jadi lebih higiene dan biar ge keluar berlebihan juga, cuman efek di aku dia ini biasa aja kurang melembapkan"
rindameita, 25 - 29,"Combination, Medium, Warm",rindameita recommends this product!,1 week - 1 month,Gift,Azarine Cosmetics,Easy White Herbal Moisturizer Serum,4.6,252,"kemasannya super imut sih ini.. kalau tekstur super watery.. padahal ini itu serum.. tapi ya gitu, produknya azarine emang selalu bikin terkejut sih.. hehee.. tapi untuk efek brightening nya ga terlalu kelihatan di aku.. "
Windaliman, 30 - 34,"Combination, Light, Neutral",Windaliman recommends this product!,Less than 1 week,FD Try and Review,Citra,Cocoa Gentle Face Scrub,4.4,30,"ini wanginya sm sprti body lotionnya ,teksturnya creamy dgn butiran scrub yg kecil2 dan ga kasar..jd ga bikin iritasi pas d gosok d muka,aku pk tiap 2 hr sekali d mlm hr..busanya ga byk2 amat..ga bikin muka kering ataupun ketarik..hrga terjangkau! thanks FD TRY AND REVI ... "
shafatc, 19 - 24,"Dry, Medium Light, Neutral",shafatc recommends this product!,More than 1 year,Laress Beauty,Pure Paw Paw,Original,4.7,267,"tbh i've tried so many lip balms, but this product is the only one that managed to moisturize my dry lips.

🍭 packaging : the packaging is in the form of a slim tube so it is very travel friendly.

🍭 texture : the texture is a bit thick but when u smeared it, it becom ... "
hestidwiaprilia, 19 - 24,"Normal, Medium, Neutral",hestidwiaprilia recommends this product!,Less than 1 week,Brand website,Whitelab,Acne Cream,5,699,"buat kalian yang ada masalah pada jerawat kudu nyobain produk ini,kemarin di dagu aku muncul jerawat baru udah hari aku pakein acne cream dari whitelab ini langsung kering dong,pokoknya prokduk ini bagus banget dan recomended banget 😍😍😍"
rindameita, 25 - 29,"Combination, Medium, Warm",rindameita recommends this product!,1 month - 3 months,Gift,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,501,"Ini produk sunscreen pertama aku yg super moist bahkan ga lengket sama sekali.. super ringan kaya ga berasa pake sunscreen.. uda nyoba beberapa produk sunscreen, kebanyakan mreka bikin berasa tebel di wajah.. kalau ini itu gak, adem pula.. "
Indahayupuspandari, 19 - 24,"Normal, Medium, Warm",Indahayupuspandari recommends this product!,1 week - 1 month,Shopee,Make Over,Hydrastay Lite Glow Cushion,3,2,"Mau preloved cushion nya ,beli cuma dipake pas ada acara udah ngga di pake lagi, hasilnya juga so far okelahh bikin look glowing natural ngga bikin berminyak di aku, ringan juga, 170k, bisa DM indahayupuspandari"
monamnita, 19 - 24,"Combination, Medium Light, Neutral",monamnita recommends this product!,Less than 1 week,FD Try and Review,Raiku Beauty,Bright Radiance Serum,5,9,parah sih emang raiku suka banget sama serum nya dengan texture yang mudah meresap ke kulit tidak lengket dan aroma nya sama sekali gak ngeganggu dan serum ini dapat menyamarkan noda hitam bekas jerawat di kulit wajah ku pokonya jatuh cinta sama ini serum❤
safinamutiaras, 19 - 24,"Oily, Medium Dark, Neutral",safinamutiaras recommends this product!,3 months - 6 months,Gift,L'Oreal Paris,Revitalift Crystal Micro Essence,4.3,1415,teksturnya enak banget kaya air dan setelah menyerap ngasih efek lembab yang ga leba di kulit berminyak aku jadi makin siap pake skincare selanjutnya mungkin juga karna ada centela asiatikanya jadi nenangin muka btw kulit aku susah banget ccocok sama skincare dan ini co ... 
adesomantri, 25 - 29,"Oily, Medium Light, Neutral",adesomantri recommends this product!,1 week - 1 month,PR Package,Somethinc,Low pH Gentle Jelly Cleanser,4.9,12,"Hi everyone . . happy weekend!
Aku mau Review Somethinc Low pH Gentle Jelly Cleanser yah :
Cleanser teranyar dari Somethinc dengan tekstur jelly dan packaging tube berisi 100ml dibaluti warna gemas meremas ritual dalam mencuci wajahku.
Dengan pH rendah yang sesuai untuk ... "
monamnita, 19 - 24,"Combination, Medium Light, Neutral",monamnita recommends this product!,Less than 1 week,FD Try and Review,Raiku Beauty,Bright Radiance Toner,5,10,"suka banget sama toner raiku ini dengan texture water tanpa kandungan alkohol dan tidak ada aroma menyengat memberi efek wajah segar dan dapat mengangkal sel kulit mati suka parah sih sama toner raiku karna emng bener"" bagus banget suka poll😍"
annisajelly, 19 - 24,"Combination, Medium, Warm",annisajelly doesn't recommend this product!,1 week - 1 month,FD Try and Review,Erha ,Acneact Acne Sun Friendly,3.7,211,"Awalnya aku punya ekspetasi bagus sama produk ini, tapi setelah aku coba 2x kapok banget huhu muncul bruntusan kecil di sekitar pipi, dan yg aku gasuka banget dia ini whitecast dan susah diblend parah perlu effort lebih, kurang rekomendasi ini kalau harus pergi buru bur ... "
BriellaRainna, 25 - 29,"Oily, Light, Neutral",BriellaRainna recommends this product!,Less than 1 week,Beauty Studio,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,503,"wah baru tau ada sunscreen versi gel dari Azarine ini hhi to be honest, suka syekalee dengan sunscreen gel satu ini, ga ada whitecast dan gel nya pun cepat meresap di kulit wajahku! 
packaging dan warnanya pun menarik hhi jadi slalu inget u/ pakai sunscreen deh 👌"
oapakpahan, 25 - 29,"Combination, Medium, Neutral",oapakpahan recommends this product!,More than 1 year,Guardian,NIVEA,Soft,3.9,1491,"aku fungsikan cream ini untuk tumit, siku dan lutut ku yang kering. karena emang cream ini creamy banget hasil nya pun emang lembab ketika di aplikasikan. nah, kalau aku pakai di siang hari ini tuh greasy banget, jadi aku pakai tiap malam hari aja. besok nya lutut, tumi ... "
annisajelly, 19 - 24,"Combination, Medium, Warm",annisajelly recommends this product!,1 week - 1 month,FD Try and Review,Erha ,Acneact Acne Spot Gel,4.1,400,"RECOMMEND !!! acne spot ini aku apply di bagian jerawat dan jerawat kecil swkitar 2-3 hari bener bener kempes tapi untuk jerawat yg lebih besar cukup lebih lama, nyaman banget sama tekstur nya tapi aku kurang suka dengan bau nya kaya obat banget"
monamnita, 19 - 24,"Combination, Medium Light, Neutral",monamnita recommends this product!,Less than 1 week,FD Try and Review,Raiku Beauty,Bright Radiance Night Cream,5,9,untuk night cream raiku suka parah karna beri efek calming saat bangun tidur dengan texture watery tapi mudah meresap dan gak lengket sama sekali saat di gunakan dan tidak ada aroma menyengat gak berakohol dan tidak menyumbat pori-pori wajah
Windaliman, 30 - 34,"Combination, Light, Neutral",Windaliman recommends this product!,Less than 1 week,FD Try and Review,Citra,Cocoa Light Body Lotion,4.8,45,"tekstur body lotion ini rada creamy dan wrnanya pth susu gt..dgn wangi cocoa manis yg berasa ada vanilanya gt,ketahanan wanginya medium ya nurut ku ,yg aku suka dia ga lengket dan cepat meresap ...kemasan tube dgn tutup flip flop yg kokoh..terasa lembab d pk ,thanks FD  ... "
adesomantri, 25 - 29,"Oily, Medium Light, Neutral",adesomantri recommends this product!,1 month - 3 months,PR Package,Somethinc,Supple Power Hyaluronic9+ Onsen Essence Toner,4.8,67,"Review Somethinc Supple Power Hyaluronic9+ Onsen Essence Toner :
Perpaduan essence dan toner dalam satu kemasan dengan kandungan yang kaya akan mineral penting bagi kulit.
Terdapat 79% Onsen Belgium Hot Spring Water dan 9 layer Hyaluronic Acid yang berfokus memberikan k ... "
safinamutiaras, 19 - 24,"Oily, Medium Dark, Neutral",safinamutiaras recommends this product!,1 month - 3 months,Gift,L'Oreal Paris,Revitalift 1.5% Hyaluronic Acid Serum,4.8,1095,"di kulit aku aga triki pake nya harus dengan jumlah yang pas klo kebanyakan jadi nimbulin milia atau clog pore jadi harus mikir, di kulit aku biasanya pake 2 tetes aja uda cukup klo lebih dri itu rasanya gresy banget tapi hasilnya aku suka banget di pagi hari kulit jadi ... "
monamnita, 19 - 24,"Combination, Medium Light, Neutral",monamnita recommends this product!,Less than 1 week,FD Try and Review,Raiku Beauty,Bright Radiance Morning Cream,5,9,morning cream raiku bagus banget sih emang dengan kandungan uv filter yang dapat melinfungi kulit dari paparan buruk sinar matahari dan dengan texture mudah meresap dan tidak lengket dapat melembabkan kulit wajah dan cocok untuk kulit wajah ku yg semsitif ini.
adesomantri, 25 - 29,"Oily, Medium Light, Neutral",adesomantri recommends this product!,1 month - 3 months,PR Package,Somethinc,Glow Maker AHA BHA PHA Clarifying Treatment Toner,4.7,75,"Nah . . ini dia review Somethinc Glow Maker AHA BHA PHA Clarifying Treatment Toner :
Dari namanya juga sudah tau bahwasanya ini exfoliating toner yang enak dikenakan harian dengan kandungan AHA, BHA serta PHA yang gentle bahkan untuk pemula atau kulit sensitif sekalipun ... "
anieztnurwalidah, 25 - 29,"Normal, Medium, Warm",anieztnurwalidah recommends this product!,3 months - 6 months,Brand website,Wardah,EyeXpert Aqua Lash Mascara,3.1,379,mascara satu ini banyak ditemukan ditoko2 kosmetik terdekat. brand yg udah terkenal ini banyak dijumpai dimanapun. pake mascara satu ini bikin bulu mataku tambah lentik. harga lumayan. kemasan lucu.. jadi yang pingin lentik solusinya satu ini.
Fitriayden, 35 - 39,"Normal, Light, Neutral",Fitriayden recommends this product!,1 week - 1 month,Alfamart,Lervia,Shower Cream,4.1,66,"ini sabun cair yg lagi aku pake dirumah..aku beliny yg refill sih,tekstrunya kaya sabun cair spt biasa...warnanya sabunnya hijau..wanginyaa enaaak ,aku sukaaa...bukan wangi yg flowery gtu ,tp lebih kya wangi yg segeer..meskipun nggak tahan lama wanginya di badan tp biki ... "
daniaachaer, 18 and Under,"Oily, Light, Neutral",daniaachaer recommends this product!,1 month - 3 months,Tokopedia,Innisfree,Aloe Revital Soothing Gel,4.4,953,"ngga ada efek yg 'wow', cm sbg moisturizer yg 'aman' di segala kondisi kulit. + nya setelah dipakai cepat kering dan ga lengket. pernah dipake tebal dg tujuan ngilangin jerawat. prosesnya lama, efek sampingnya malah bikin agak iritasi"
virgiangela, 19 - 24,"Combination, Medium Light, Neutral",virgiangela recommends this product!,More than 1 year,Official Brand Store,The Body Shop,The Body Shop Indian Night Jasmine Eau De Toilette,4.2,13,"Aku lebih suka sama wangi yg Indian Jasmine ini dari pada cherry blossom. Wangi melati mahal, wanginya juga lebih soft, ga bikin pusing malah bikin addict sama wanginya. Walaupun semprotnya diawet² tapi wanginya udah bisa kecium tetangga. Packagingnya juga cantik serasa ... "
Windaliman, 30 - 34,"Combination, Light, Neutral",Windaliman recommends this product!,Less than 1 week,FD Try and Review,Citra,Marine Collagen Gel Face Cleanser,4.2,30,"teksturnya gel bening wrna biru yg agak watery,mesti hati2 d klrkan krn lubangnya agak bsr jd gmpg tumpah,busanya byk,wangi rada strong nurutku..yg aku suka dia ga bikin muka ketarik ataupun kering setelah d bilas...utk hrg ini terjangkau!makasih FD TRY and REVIEW !!"
virgiangela, 19 - 24,"Combination, Medium Light, Neutral",virgiangela recommends this product!,More than 1 year,Official Brand Store,The Body Shop,Japanese Cherry Blossom Strawberry Kiss,4.4,44,"Parfum kecintaan aku. Parfum yg aku pake saat first dating sama doi. Wadahnya cantik, kelihatan mahal, tapi emang agak mahal. Wanginya soft, floral rose, trus ada hint wangi yg aku ga paham itu wangi apa tapi bikin cinta banget sama diri sendiri. Ketahan wanginya untuk  ... "
Nisrinaaja0603, 25 - 29,"Combination, Medium, Warm",Nisrinaaja0603 recommends this product!,1 month - 3 months,Shopee,Safi,Age Defy Gold Water Essence,4.2,1245,Essense super ringan sebagai rangkaian ketiga stlah cleanser dan toner. Pke ini kulitku agak cerahan (dikit ya) dan lembab an juga. Cuma karena susah dikeluarin dari botol tu jadi rada males pakenya padahal lumayan bagus si menurutku. Aku collab pke drop of youth tbs jd ... 
anieztnurwalidah, 25 - 29,"Normal, Medium, Warm",anieztnurwalidah recommends this product!,3 months - 6 months,Brand website,SilkyGirl,Big Eye Collagen Waterproof Mascara ,4,250,"suka sama mascara satu ini, water proof, gk mudah luntur karena keringat, tekstur cukup kental, juga enak. harga lumayan, banyak dijumpai di offline maupun online store. cocok dipake untuk daily activity maupun special activity. kemasan unik mudah dibawa kemana2."
juniarclementina, 25 - 29,"Oily, Medium, Neutral",juniarclementina recommends this product!,Less than 1 week,FD Try and Review,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,500,"Pertama kalinya pakai sunscreen gel yang super bagus bgt sih ini. Kandungan bahan yg terdapat lengkap bgt buat menutrisi dan melembabkan kulit, tidak lengket, mudah menyerap dan juga ringan bgt di wajah. Ok bgt sih ini buat dipakai sehari-hari"
rirymeriam, 35 - 39,"Oily, Medium, Neutral",rirymeriam recommends this product!,3 months - 6 months,Official Brand Store,Nature Republic,Perfect Sun Block SPF50+ PA++++,3.9,26,"Wah ga cocok di muka oilyku, jadi kilang minyak parah. Awal pemakaian ada white cast dikit tapi bakal hilang, makenya harus 1 layer dulu baru setelah kering d layer lagi. Cocok aja sebenarnya di wajahku tapi bikin ga nyaman karena rasanya berat, oily banget setelah bebe ... "
Ivahzhang, 30 - 34,"Combination, Medium Light, Neutral",Ivahzhang recommends this product!,1 week - 1 month,Instagram,True to Skin,Bakuchiol Anti-aging Serum,4.9,214,Finally ketemu serum local tapi bagus banget. Pertama di indo ada serum bakuchiol dan pertama kali jg aku cobain dan langsung jatuh cinta. Bikin kulit jadi lembab sukanya lagi bisa di pake sama kulit yang super sensitif kayak aku. Super rekomen deh!
Fir__, 25 - 29,"Combination, Medium, Neutral",Fir__ recommends this product!,1 month - 3 months,Shopee,Neostrata,Ultra Smoothing Lotion,4.7,40,"Glycolic lotion yang bisa dipakai buat face & body. Utk face, udahlah emang dia kerjanya beneran ada. Kulit glowing ✅ beruntusan gone ✅ ga bikin breakout ✅. Yang bikin amazed lagi, gw pake dia buat kaki yang tadinya ada luka bekas digaruk, eh tau tau sembuh dan skrg ... "
ulya15, 19 - 24,"Combination, Dark, Warm",ulya15 recommends this product!,More than 1 year,Alfamart,Himalaya,Purifying Neem Mask,4.2,6015,"Bagus banget buat bikin kering jerawat. Love banget dah sama masker satu ini. Wanginya agak menyengat si, tapi alhamdulillah udah terbiasa. Pernah jerawatan terus pakai ini besoknya langsung gitu kempes gitu. Terus juga setelah pemakaian wajah terasa lebih lembut."
Wulan_ayvv, 25 - 29,"Oily, Dark, Warm",Wulan_ayvv recommends this product!,1 week - 1 month,Female Daily Event,Votre Peau,Facial Sun Shield SPF 50,4.2,224,"Votre peau Daily sun Shield ini tipe physical sunscreen dengan Cream berwarna putih susu dan Wangi yang Manis, wanginya menurutku itu seperti Rice Milk 😆, Jujur aku awalnya susah banget Buat Apply Sunscreen ini Karena cepet kering dan Bikin Peeling terutama di alis, Ja ... "
maladevi, 19 - 24,"Dry, Medium Dark, Neutral",maladevi recommends this product!,1 week - 1 month,Instagram,N'pure,Essence Centella,4.6,448,"Tekstur dari N'PURE Centella Asiatica Face Essence ini cair sehingga mudah meresap kekulit
Selain itu juga N'PURE Centella Asiatica Face Essence sudah dermatologically taste, Paraben-Free, Sulfate-Free, Alcohol-Free, Silicone-Free, Fungal Acne, halal dan terdaftar BPOM  ... "
Tisacaddea, 19 - 24,"Oily, Medium Light, Neutral",Tisacaddea recommends this product!,1 week - 1 month,Shopee,Emina,Lip Mask,4.6,932,Udah pake about a week. warnanya pink dan gampang dioles di bibir. awal pake kerasa agak berat gt. tapi ketika bangun tidur bibir jadi lembab kenyal dan ga pucet. jadi keliatan bibir sehat. seharian puasa juga ga bikin bibir kering sama sekali kalo malamnya pake ini. am ... 
ulya15, 19 - 24,"Combination, Dark, Warm",ulya15 recommends this product!,3 months - 6 months,Traditional market,Wardah,UV Shield Essential Sunscreen Gel SPF 30 PA+++,3.2,7191,"Ternyata sunscreen ini perombakan dari sunscreen pendahulunya ya. Kalau yang dulu gag cocok karena kalau udah pakai itu, pasti langsung berminyak banget wajah. Sebenarnya pakai ini juga harap-harap cemas, tapi wow dia gag bikin terlalu berminyak. Kadang ada timbul minya ... "
galiholiday, 30 - 34,"Dry, Medium, Neutral",galiholiday recommends this product!,Less than 1 week,FD Try and Review,Pond's,Refreshing Face Mist Antibacterial,4.7,34,Ini produk face mist pertama yg aku punya. Awalnya gak ekspek macem2 tp ternyata enak jg dipake. Wanginya enak sih gak terlalu berlebihan. Aq lebih suka pakenya kalo pas jam siang menuju sore saat muka mulai lepek dan kusem jd berasa fresh lg sih pake ini. Cocok buat di ... 
karyakaryati, 25 - 29,"Dry, Medium Light, Neutral",karyakaryati recommends this product!,Less than 1 week,Gift,L'Oreal Paris,UV Defender Bright & Clear,4.9,625,"L'Oreal Paris UV DEFENDER Bright and Clear UV Serum Protector suka banget dari kemasannya udah kelihatan mewah, mahal gitu mungkin karena gold ya.
Terus pemakaiannya juga mudah, diolesin tipis aja dan gak lengket ya, itu penting. Baunya enak , ga eneg pastinya.
Pokoknya ... "
Lilis_akmal, 25 - 29,"Normal, Medium Light, Neutral",Lilis_akmal recommends this product!,Less than 1 week,Beauty Studio,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,499,"pas pertama kali pake ini tuh sunscren ringan banget g lengket dan g menyengat baunya enak aja gt , mudah jg meresap di kulit ,, suka sih untuk penganlaman pertamanya , mudah banget diaplikasikan ke kulit wajah dan cocok buat mukaku yg agak2 sensitif ternyata"
novenanggrainii, 19 - 24,"Oily, Medium, Neutral",novenanggrainii recommends this product!,Less than 1 week,Transmart,Marcks,Bedak Beauty Powder,4.2,8853,bedak ini baunya ga terlalu enak agak enek gt tapi biasanya aku pake bedak ini ke ketiak hihihi dia gabikin burket dan bauk keti gitu pokoknya mantep. udah harga murah gampang di cari dan bisa nahan bau keti bangettt mantapp deh marcks. tp gaenaknya setelah dipake parti ... 
beaotta, 19 - 24,"Combination, Medium, Neutral",beaotta recommends this product!,1 month - 3 months,Shopee,d'Alba,White Truffle First Spray Serum,4.9,95,"aya memesannya karena dikatakan bahwa produk dalba bagus, dan emang bagussss~ Kulit saya tipe yg sensitif gampaang merah-merah dan kering, tetapi setelah pake serum ini, kulit jd lebih calm dan memang melembabkan, kulit emang beneran jadi glowing !!"
fitrialstrh, 18 and Under,"Oily, Medium Light, Neutral",fitrialstrh recommends this product!,1 month - 3 months,FD Try and Review,Pond's,Serum Whip Foam,4.4,314,"Seneng banget di kasih kesempatan sama FD. Thank u FD!Pertama kali pakai face wash pond's serum whip foam yang varian charcoal. Foam nya bener-bener banyak bangett ga bikin keset di muka, wanginya enak banget. Aku udah pakai sekitar sebulan kerasa banget abis cuci muka  ... "
Nisrinaaja0603, 25 - 29,"Combination, Medium, Warm",Nisrinaaja0603 recommends this product!,1 month - 3 months,Whatsapp,Nu Skin,Nutricentials Exfoliant Scrub,4.1,38,"Exfo pake ini berasa kayak pke pasir karna bulirannya yang super halus yaa. Sesuka itu pke produk ini, gk bikin kulit merah dan sakit. Bau peppermint yang nyegerin hampir mirip kyk odol gtu haha. Seminggu bisa pke 2x yaa biar kulit mati pada keangkat. Serasa keset dan b ... "
daniaachaer, 18 and Under,"Oily, Light, Neutral",daniaachaer recommends this product!,1 week - 1 month,Alfamart,Himalaya,Purifying Neem Face Wash,3.6,1466,"aku tipe oily skin yg krg cocok pake facial wash yg gel kayak cetaphil, krn ngerasa krg bersih aja hbs di cuci. BUT. this facial wash clean my oily skin well, gak ninggalin rasa keset dan agak mencerahkan. sukaa krn sesuai dg klaimnya❕"
virgiangela, 19 - 24,"Combination, Medium Light, Neutral",virgiangela recommends this product!,More than 1 year,Traditional market,Selection,Facial Cotton Lapis Tipis,4.8,584,"Kayanya ini kapas kecintaan semua beauty enthusiast. Udah harganya murah, trus ada dimana². Kapasnya tipis, tapi aku biasa belah lagi jadi 2 haha biar makin tipis trus enak buat csm an atau sekedar tap² toner ke muka. Kalo buat first cleansing emang kurang cocok sih, so ... "
maladevi, 19 - 24,"Dry, Medium Dark, Neutral",maladevi recommends this product!,1 week - 1 month,Instagram,N'pure,Marigold Eye Power Serum Concentrate,4.9,295,"awalnya aku penasaran banget karna banyak yang review eye cream ini. alhasil aku nyobain sendiri, dan beneran bagus produknya.mata panda dan kerutan halus dimataku sedikit berkurang, apalagi packaging nya sudah ada aplikatornya jadi memudahkan kita dalam pemakaian produ ... "
